date,price
2024-12-10,10.452000
2024-12-11,10.504000
2024-12-12,10.484000
2024-12-13,10.436000
2024-12-16,10.440000
2024-12-17,10.412000
2024-12-18,10.438000
2024-12-19,10.290000
2024-12-20,10.306000
2024-12-23,10.286000
2024-12-27,10.338000
2024-12-30,10.244000
2025-01-02,10.416000
2025-01-03,10.402000
2025-01-06,10.458000
2025-01-07,10.384000
2025-01-08,10.384000
2025-01-09,10.392000
2025-01-10,10.390000
2025-01-13,10.356000
2025-01-14,10.254000
2025-01-15,10.412000
2025-01-16,10.436000
2025-01-17,10.524000
2025-01-20,10.474000
2025-01-21,10.482000
2025-01-22,10.564000
2025-01-23,10.578000
2025-01-24,10.540000
2025-01-27,10.364000
2025-01-28,10.488000
2025-01-29,10.542000
2025-01-30,10.574000
2025-01-31,10.678000
2025-02-03,10.584000
2025-02-04,10.596000
2025-02-05,10.568000
2025-02-06,10.684000
2025-02-07,10.664000
2025-02-10,10.728000
2025-02-11,10.700000
2025-02-12,10.636000
2025-02-13,10.682000
2025-02-14,10.666000
2025-02-17,10.730000
2025-02-18,10.736000
2025-02-19,10.774000
2025-02-20,10.674000
2025-02-21,10.700000
2025-02-24,10.562000
2025-02-25,10.512000
2025-02-26,10.550000
2025-02-27,10.556000
2025-02-28,10.440000
2025-03-03,10.458000
2025-03-04,10.132000
2025-03-05,10.012000
2025-03-06,10.024000
2025-03-07,9.856000
2025-03-10,9.778000
2025-03-11,9.599000
2025-03-12,9.699000
2025-03-13,9.773000
2025-03-14,9.759000
2025-03-17,9.797000
2025-03-18,9.756000
2025-03-19,9.857000
2025-03-20,9.877000
2025-03-21,9.844000
2025-03-24,10.012000
2025-03-25,10.030000
2025-03-26,9.977000
2025-03-27,9.944000
2025-03-28,9.733000
2025-03-31,9.673000
2025-04-01,9.779000
2025-04-02,9.761000
2025-04-03,9.304000
2025-04-04,8.870000
2025-04-07,8.638000
2025-04-08,8.920000
2025-04-09,8.488000
2025-04-10,8.819000
2025-04-11,8.738000
2025-04-14,8.978000
2025-04-15,9.075000
2025-04-16,8.970000
2025-04-17,8.895000
2025-04-22,8.827000
2025-04-23,9.086000
2025-04-24,9.164000
2025-04-25,9.196000
2025-04-28,9.213000
2025-04-29,9.264000
2025-04-30,9.293000
2025-05-02,9.533000
2025-05-05,9.554000
2025-05-06,9.507000
2025-05-07,9.448000
2025-05-08,9.587000
2025-05-09,9.588000
2025-05-12,9.904000
2025-05-13,9.961000
2025-05-14,9.946000
2025-05-15,9.978000
2025-05-16,10.048000
2025-05-19,9.984000
2025-05-20,10.002000
2025-05-21,9.934000
2025-05-22,9.866000
2025-05-23,9.763000
2025-05-26,9.843000
2025-05-27,9.916000
2025-05-28,9.926000
2025-05-29,9.879000
2025-05-30,9.880000
2025-06-02,9.842000
2025-06-03,9.944000
2025-06-04,9.956000
2025-06-05,9.969000
2025-06-06,10.006000
2025-06-09,10.016000
2025-06-10,10.014000
2025-06-11,10.024000
2025-06-12,9.928000
2025-06-13,9.882000
2025-06-16,9.925000
2025-06-17,9.895000
2025-06-18,9.908000
2025-06-19,9.811000
2025-06-20,9.837000
2025-06-23,9.820000
2025-06-24,9.928000
2025-06-25,9.936000
2025-06-26,9.925000
2025-06-27,9.998000
2025-06-30,9.980000
2025-07-01,9.965000
2025-07-02,9.987000
2025-07-03,10.088000
2025-07-04,10.016000
2025-07-07,10.044000
2025-07-08,10.056000
2025-07-09,10.074000
2025-07-10,10.142000
2025-07-11,10.088000
2025-07-14,10.100000
2025-07-15,10.168000
2025-07-16,10.026000
2025-07-17,10.228000
2025-07-18,10.208000
2025-07-21,10.294000
2025-07-22,10.156000
2025-07-23,10.244000
2025-07-24,10.262000
2025-07-25,10.276000
2025-07-28,10.364000
2025-07-29,10.410000
2025-07-30,10.448000
2025-07-31,10.474000
2025-08-01,10.180000
2025-08-04,10.288000
2025-08-05,10.352000
2025-08-06,10.288000
2025-08-07,10.318000
2025-08-08,10.348000
2025-08-11,10.410000
2025-08-12,10.416000
2025-08-13,10.438000
2025-08-14,10.454000
2025-08-15,10.434000
2025-08-18,10.454000
2025-08-19,10.452000
2025-08-20,10.394000
2025-08-21,10.434000
2025-08-22,10.494000
2025-08-25,10.508000
2025-08-26,10.470000
2025-08-27,10.544000
2025-08-28,10.526000
2025-08-29,10.434000
2025-09-01,10.462000
2025-09-02,10.348000
2025-09-03,10.424000
2025-09-04,10.490000
2025-09-05,10.446000
2025-09-08,10.506000
2025-09-09,10.518000
2025-09-10,10.598000
2025-09-11,10.652000
2025-09-12,10.658000
2025-09-15,10.676000
2025-09-16,10.602000
2025-09-17,10.592000
2025-09-18,10.692000
2025-09-19,10.778000
2025-09-22,10.732000
2025-09-23,10.760000
2025-09-24,10.728000
2025-09-25,10.734000
2025-09-26,10.714000
2025-09-29,10.760000
2025-09-30,10.734000
2025-10-01,10.840000
2025-10-02,10.882000
2025-10-03,10.924000
2025-10-06,10.976000
2025-10-07,10.950000
2025-10-08,11.042000
2025-10-09,11.058000
2025-10-10,10.838000
2025-10-13,10.918000
2025-10-14,10.886000
2025-10-15,10.930000
2025-10-16,10.954000
2025-10-17,10.808000
2025-10-20,10.984000
2025-10-21,11.042000
2025-10-22,10.950000
2025-10-23,11.034000
2025-10-24,11.120000
2025-10-27,11.198000
2025-10-28,11.254000
2025-10-29,11.222000
2025-10-30,11.250000
2025-10-31,11.236000
2025-11-03,11.236000
2025-11-04,11.198000
2025-11-05,11.230000
2025-11-06,11.070000
2025-11-07,10.926000
2025-11-10,11.150000
2025-11-11,11.188000
2025-11-12,11.242000
2025-11-13,11.098000
2025-11-14,11.080000
2025-11-17,11.030000
2025-11-18,10.890000
2025-11-19,10.906000
2025-11-20,10.964000
2025-11-21,10.844000
2025-11-24,10.988000
2025-11-25,10.992000
2025-11-26,11.140000
2025-11-27,11.122000
2025-11-28,11.178000
2025-12-01,11.118000
2025-12-02,11.132000
2025-12-03,11.128000
2025-12-04,11.156000
2025-12-05,11.202000
2025-12-08,11.180000
2025-12-09,11.192000
2025-12-10,11.152000
