date,price
2024-10-30,40.17
2024-10-29,40.01
2024-10-28,39.88
2024-10-25,40.00
2024-10-24,40.03
2024-10-23,40.29
2024-10-22,40.27
2024-10-21,40.40
2024-10-18,40.36
2024-10-17,40.13
2024-10-16,39.94
2024-10-15,40.11
2024-10-14,39.79
2024-10-11,39.60
2024-10-10,39.61
2024-10-09,39.27
2024-10-08,38.99
2024-10-07,39.30
2024-10-04,38.84
2024-10-03,38.97
2024-10-02,38.88
2024-10-01,38.98
2024-09-30,38.86
2024-09-27,38.98
2024-09-26,38.60
2024-09-25,38.77
2024-09-24,38.71
2024-09-23,38.55
2024-09-20,38.72
2024-09-19,38.12
2024-09-18,38.23
2024-09-17,38.23
2024-09-16,38.29
2024-09-13,38.22
2024-09-12,37.98
2024-09-11,37.68
2024-09-10,37.50
2024-09-09,36.90
2024-09-06,37.57
2024-09-05,37.59
2024-09-04,37.90
2024-09-03,38.50
2024-09-02,38.49
2024-08-30,38.18
2024-08-29,37.98
2024-08-28,38.00
2024-08-27,37.94
2024-08-26,38.01
2024-08-23,37.74
2024-08-22,37.96
2024-08-21,37.83
2024-08-20,37.94
2024-08-19,37.84
2024-08-16,37.72
2024-08-15,36.99
2024-08-14,37.09
2024-08-13,36.55
2024-08-12,36.59
2024-08-09,36.44
2024-08-08,35.84
2024-08-07,35.82
2024-08-06,35.43
2024-08-05,36.64
2024-08-02,37.87
2024-07-31,37.87
2024-07-30,37.94
2024-07-29,37.73
2024-07-26,37.38
2024-07-25,37.61
2024-07-24,38.39
2024-07-23,38.28
2024-07-22,37.89
2024-07-19,38.12
2024-07-18,38.34
2024-07-17,38.94
2024-07-16,38.62
2024-07-15,38.63
2024-07-12,38.47
2024-07-11,38.70
2024-07-10,38.31
2024-07-09,38.28
2024-07-08,38.24
2024-07-05,38.19
2024-07-04,38.15
2024-07-03,38.09
2024-07-02,37.97
2024-07-01,37.94
2024-06-28,38.03
2024-06-27,38.04
2024-06-26,38.02
2024-06-25,38.58
2024-06-24,38.74
2024-06-21,38.71
2024-06-20,38.65
2024-06-19,38.70
2024-06-18,38.58
2024-06-17,38.47
2024-06-14,38.36
2024-06-13,38.21
2024-06-12,38.14
2024-06-11,38.17
2024-06-10,37.86
2024-06-07,37.75
2024-06-06,37.73
2024-06-05,37.39
2024-06-04,37.25
2024-06-03,37.38
2024-05-31,37.20
2024-05-30,37.37
2024-05-29,37.51
2024-05-28,37.62
2024-05-27,37.59
2024-05-24,37.48
2024-05-23,37.68
2024-05-22,37.74
2024-05-21,37.66
2024-05-20,37.60
2024-05-17,37.58
2024-05-16,37.64
2024-05-15,37.32
2024-05-14,37.26
2024-05-13,37.36
2024-05-10,37.19
2024-05-09,37.07
2024-05-08,37.07
2024-05-07,36.97
2024-05-06,36.69
2024-05-03,36.50
2024-05-02,36.33
2024-04-30,36.70
2024-04-29,36.65
2024-04-26,36.13
2024-04-25,36.34
2024-04-24,36.29
2024-04-23,36.02
2024-04-22,35.70
2024-04-19,35.95
2024-04-18,36.04
2024-04-17,36.20
2024-04-16,36.48
2024-04-15,36.76
2024-04-12,36.95
2024-04-11,36.66
2024-04-10,36.76
2024-04-09,36.69
2024-04-08,36.75
2024-04-05,36.41
2024-04-04,36.86
2024-04-03,36.93
2024-04-02,37.31
2024-03-28,37.19
2024-03-27,36.90
2024-03-26,36.91
2024-03-25,37.09
2024-03-22,37.03
2024-03-21,36.84
2024-03-20,36.50
2024-03-19,36.31
2024-03-18,36.16
2024-03-15,36.34
2024-03-14,36.33
2024-03-13,36.46
2024-03-12,36.06
2024-03-11,36.09
2024-03-08,36.34
2024-03-07,36.05
2024-03-06,35.95
2024-03-05,36.25
2024-03-04,36.37
2024-03-01,36.12
