date,price
2024-12-10,246.654449
2024-12-11,245.380203
2024-12-12,246.843582
2024-12-13,247.012817
2024-12-16,249.909714
2024-12-17,252.338730
2024-12-18,246.933182
2024-12-19,248.665344
2024-12-20,253.344193
2024-12-23,254.120682
2024-12-24,257.037506
2024-12-26,257.853790
2024-12-27,254.439224
2024-12-30,251.064499
2024-12-31,249.292511
2025-01-02,242.752090
2025-01-03,242.264297
2025-01-06,243.896927
2025-01-07,241.119476
2025-01-08,241.607269
2025-01-10,235.783615
2025-01-13,233.344620
2025-01-14,232.229675
2025-01-15,236.799011
2025-01-16,227.232285
2025-01-17,228.944550
2025-01-21,221.637589
2025-01-22,222.822220
2025-01-23,222.653000
2025-01-24,221.776962
2025-01-27,228.825089
2025-01-28,237.187271
2025-01-29,238.282303
2025-01-30,236.520264
2025-01-31,234.937439
2025-02-03,226.983398
2025-02-04,231.751846
2025-02-05,231.423340
2025-02-06,232.169952
2025-02-07,226.605133
2025-02-10,226.874191
2025-02-11,231.827255
2025-02-12,236.062775
2025-02-13,240.706894
2025-02-14,243.766434
2025-02-18,243.636887
2025-02-19,244.035507
2025-02-20,244.992249
2025-02-21,244.713211
2025-02-24,246.257919
2025-02-25,246.198105
2025-02-26,239.540894
2025-02-27,236.491318
2025-02-28,241.015839
2025-03-03,237.218811
2025-03-04,235.125977
2025-03-05,234.936630
2025-03-06,234.528015
2025-03-07,238.255280
2025-03-10,226.704773
2025-03-11,220.087402
2025-03-12,216.240570
2025-03-13,208.965439
2025-03-14,212.762466
2025-03-17,213.270721
2025-03-18,211.965195
2025-03-19,214.506500
2025-03-20,213.370377
2025-03-21,217.526169
2025-03-24,219.977783
2025-03-25,222.987488
2025-03-26,220.775040
2025-03-27,223.087143
2025-03-28,217.157410
2025-03-31,221.373016
2025-04-01,222.429398
2025-04-02,223.127014
2025-04-03,202.497574
2025-04-04,187.738037
2025-04-07,180.841614
2025-04-08,171.832428
2025-04-09,198.172348
2025-04-10,189.771072
2025-04-11,197.474716
2025-04-14,201.829834
2025-04-15,201.451141
2025-04-16,193.607956
2025-04-17,196.308716
2025-04-21,192.501724
2025-04-22,199.059326
2025-04-23,203.902756
2025-04-24,207.659897
2025-04-25,208.566803
2025-04-28,209.423874
2025-04-29,210.490219
2025-04-30,211.775848
2025-05-01,212.593048
2025-05-02,204.650208
2025-05-05,198.212219
2025-05-06,197.833496
2025-05-07,195.581207
2025-05-08,196.816986
2025-05-09,197.853439
2025-05-12,210.347122
2025-05-13,212.482635
2025-05-14,211.883911
2025-05-15,211.005753
2025-05-16,210.816147
2025-05-19,208.341354
2025-05-20,206.425400
2025-05-21,201.665421
2025-05-22,200.936951
2025-05-23,194.859741
2025-05-27,199.789368
2025-05-28,199.998932
2025-05-29,199.529907
2025-05-30,200.428024
2025-06-02,201.276230
2025-06-03,202.842941
2025-06-04,202.393875
2025-06-05,200.208481
2025-06-06,203.491562
2025-06-09,201.026749
2025-06-10,202.244202
2025-06-11,198.362366
2025-06-12,198.781479
2025-06-13,196.037262
2025-06-16,198.003128
2025-06-17,195.228958
2025-06-18,196.166992
2025-06-20,200.577713
2025-06-23,201.076645
2025-06-24,199.879181
2025-06-25,201.136520
2025-06-26,200.577713
2025-06-27,200.657547
2025-06-30,204.738937
2025-07-01,207.383377
2025-07-02,211.993668
2025-07-03,213.101334
2025-07-07,209.508896
2025-07-08,209.568771
2025-07-09,210.696396
2025-07-10,211.963745
2025-07-11,210.716354
2025-07-14,208.181686
2025-07-15,208.670670
2025-07-16,209.718460
2025-07-17,209.578751
2025-07-18,210.736313
2025-07-21,212.033585
2025-07-22,213.949539
2025-07-23,213.700073
2025-07-24,213.310898
2025-07-25,213.430649
2025-07-28,213.600296
2025-07-29,210.826126
2025-07-30,208.610794
2025-07-31,207.133911
2025-08-01,201.954803
2025-08-04,202.922775
2025-08-05,202.493668
2025-08-06,212.801956
2025-08-07,219.567719
2025-08-08,228.868134
2025-08-11,226.959976
2025-08-12,229.427582
2025-08-13,233.104034
2025-08-14,232.554565
2025-08-15,231.365707
2025-08-18,230.666397
2025-08-19,230.336716
2025-08-20,225.791107
2025-08-21,224.682190
2025-08-22,227.539413
2025-08-25,226.940002
2025-08-26,229.087921
2025-08-27,230.266785
2025-08-28,232.334778
2025-08-29,231.915176
2025-09-02,229.497528
